"GroupDiv","alt"
"Bacillariophyta","Fragilaria crotonensis, Cyclotella meneghiniana, Asterionella formosa, Stephanodiscus hantzschii, Synedra sp, Navicula pellicosa, Aulacoseira granulata var. angustissima, Nitzschia palea"
"Chlorophyta","Chlamydomonas sp, Chlorella homosphaera, Scenedesmus quadricauda, Scenedesmus acutus, Ankistrodesmus sp, Chlamydomonas reinhardtii, Pediastrum privum, Selenastrum sp, Selenastrum capricornutum, Scenedesmus communis, Scenedesmus obliquus, Scenedesmus ecornis, Coenocystis sp, Choricystis sp, Choricystis coccoids, Stichococcus chodati, Chlorella minutissima, Monoraphidium minutum, Chlamydomonas globosa, Oocystis sp, Pseudokirchneriella subcapitata, Chlorella vulgaris, Haematococcus pluvialis, Scenedesmus maximus, Chlorella protothecoides"
"Chrysophyta","Dinobryon cylindricum, Mallomonas caudata, Synura sp"
"Cryptophyta","Cryptomonas sp, Rhodomonas lacustris, Cryptomonas marssonii, Cryptomonas erosa, Cryptomonas pyrenoidifera, Cryptomonas obovoidea, Cryptomonas ozolinii, Cryptomonas ovata, Rhodomonas minuta"
"Cyanophyta","Oscillatoria agardhii, Microcystis aeruginosa, Anabaena sp, Spirulina sp, Nostoc muscorum, Anabaena variabilis, Anabaenopsis sp, Nodularia sp, Nostoc commune, Nostoc paludosum, Nostoc sp, Aphanothece sp, Anabaena lemmermannii, Aphanizomenon sp, Aphanizomenon gracile, Aphanizomenon cf gracile, Nostoc punctiforme, Cylindrospermum stagnale, Calothrix marchica, Microcystis sp, Planktothrix sp, Cyanothece sp, Gloeobacter violaceus, Gloeothece sp, Synechocystis salina, Synechocystis sp, Oscillatoria splendida, Lyngbya majuscula, Nodularia harveyana, Nostoc carneum, Leptolyngbya sp, Scytonema obscurum, Nostoc linckia, Synechocystis aeruginousus, Chroococcus minutus, Lyngbya  ceylanica, Merismopedia glauca, Nodularia sphaerocarpa"
"Euglenophyta","Euglena gracilis, Euglena sp"
"Haptophyta","Chromulina chinophila"
"Ochrophyta","Gonyostomum semen, Nannochloropsis limnetica"
"Pyrrhophyta","Peridinium cinctum, Peridiniopsis borgei"
"Rhodophyta","Porphyridium aerugineum"
"Xanthophyta","Tribonema sp"
